state,city,WARD_NO,ward_name,area_km2,tot_p,tot_m,tot_f,p_06,no_hh,sexratio,p_lit,p_ill,p_sc,p_st,tot_work_p,mainwork_p,margwork_p,non_work_p,LST_mean,LST_min,LST_max,LST_hotspot,heat_score,UHI_all_mean,UHI_all_stdDev,UHI_built_mean,nighttemp_hotspot,ndvi_mean,nightLST_mean,treeProb_mean,vegDeficit_mean,dwBuiltProb_mean,ghslDensity_mean,dimness_mean,totalPop,popDensity,riskScore,popAtRisk,exposureRate,pop_priority_level,builtAlbedo_mean,builtAlbedo_min,builtAlbedo_max,coolRoofPriorityScore,darkRoofArea_km2,potentialCooling_C,estimatedCost_Lakhs,builtFrac_pct,coolroof_priority_level,treePriorityScore,currentCanopy_pct,canopyDeficit_ha,treesNeeded,saplingsToPlant,totalCost_Lakhs,greeningUrgency,popInLowCanopy,tree_priority_level,activityHeatScore,dayLST,nightLST,avgLST_24h,ntl_mean,activity_priority_level,informalHousingScore,buildingDensity,vegetationDeficit,nightlightDimness,informal_priority_level,riskIndex,hazardIndex,exposureIndex,vulnerabilityIndex,priority_level
Uttar Pradesh,Agra,27,Agra (M Corp.) WARD NO.-0027,1.8028489815038728,16832.0,9077.0,7755.0,1941.0,2823,854.0,11577.0,5255,1730,0,6154,3730,2424,10678,46.895500188933326,37.70350106000001,50.98250876000003,1.5669705466275587,49.12687958271224,6.237643467330388,2.4691602156878476,6.952877957505125,0.31162820382563955,0.21640063388482705,20.326785258835706,0.23832333922379165,88.05371810671478,53.25613736377495,50.26456720628643,58.98930016768787,12792.937822065165,7095.956429691492,185.9600462880303,12792.937822065165,100,High,0.16045490247736727,0.050573074999999995,0.402114525,78.05593474296442,0.368565029907434,14.651503250754423,700.2735568241246,73.25043332092444,High,209.9325128691092,0.08377399758883401,30.662763076836217,4600.0,6210.0,86.94,CRITICAL,12932.910022765518,High,110.80523669481511,32.90650107600736,20.32732537217059,26.616913224088975,25.97769559974597,Low,59.32644892121562,56.24686888851667,86.75247452055422,51.048258995585165,Medium,3.243435515423076,1.41133035269825,9.456726730069022,2.556502857373642,High
Uttar Pradesh,Agra,87,Agra (M Corp.) WARD NO.-0087,0.5098702523627543,14436.0,7593.0,6843.0,1464.0,2619,901.0,10940.0,3496,992,5,4607,3982,625,9829,45.4975626145555,44.39598422000006,46.846704560000035,0.16903297224973102,46.10063800380145,4.839705892952503,0.4134794327180721,4.844887624259028,1.306392536652069,0.17960203742162087,21.319488127133486,0.0,97.34634492731654,60.85400686641377,67.71145557924719,8.094784982713014,10939.80597040513,21456.05851627887,35.319308266873605,10939.80597040513,100,Low,0.17480781770513873,0.08524658888888889,0.3536906625,66.157697326233,0.12665210142237807,14.173072743162042,240.63899270251832,99.2077317099946,Medium,163.84804118430287,0.0,10.013724177684455,1503.0,2030.0,28.42,CRITICAL,11070.839468742819,Low,179.95209216549028,33.29805818353834,21.32208970499702,27.31007394426768,43.117700826979565,High,29.818231251386905,76.42532746364475,98.78493014612438,5.165168014200788,Low,2.721851465579226,1.4070121006158205,9.3002547451458,1.5409927224893414,Low
Uttar Pradesh,Agra,18,Agra (M Corp.) WARD NO.-0018,0.4366291032892331,13772.0,7290.0,6482.0,1587.0,2186,889.0,7343.0,6429,4843,8,4444,3678,766,9328,46.16466465072011,44.75145829999997,47.205596660000026,0.8361350084143453,46.681749103931374,5.506807929117186,0.43770656429936017,5.478696234183034,1.379378161221941,0.16000636636318896,21.443627930561142,0.0,86.81503232748211,47.115333585674776,75.90002401802047,19.747503410206726,5669.190147938448,12983.99512362108,121.83907374640171,5669.190147938448,100,Low,0.178020615750197,0.08535480000000001,0.3174074,67.26321021353522,0.09216049723654088,14.065979474993432,175.10494474942766,86.5198378530035,Medium,183.53452768772172,0.0,7.739406830572093,1161.0,1568.0,21.952,CRITICAL,5672.801299001658,Medium,179.33188447125812,33.75727966101698,21.395075329566893,27.576177495291937,38.64603868472843,High,42.61914024852528,78.12311038218373,89.35864172242367,12.56240470665064,Low,2.9140877702169345,1.6861954995392838,8.6429779319511,1.6979955777911082,Medium
Uttar Pradesh,Agra,33,Agra (M Corp.) WARD NO.-0033,0.6249657433845724,9236.0,4929.0,4307.0,1095.0,1676,874.0,6571.0,2665,1006,2,3262,2843,419,5974,45.727878770848996,43.61838467000007,47.33548142000001,0.39934912854322846,46.635814553254704,5.070022049246118,0.7990273422110077,5.089897624868397,0.9298426987647123,0.23946695279985786,21.029894396448878,0.005044333553782727,79.16745339289284,61.30263182513968,52.086772906126704,36.316110419903865,7171.325098882937,11474.74909591975,117.13655749972563,7171.325098882937,100,Low,0.16428450274304562,0.07170255,0.34458888,58.63640779787619,0.11483370418707578,14.523849908565145,218.18403795544398,67.6945527699705,Medium,170.16961569914292,0.0,10.22712246408684,1535.0,2073.0,29.022,CRITICAL,7038.821613446405,Medium,162.36283028514225,33.89883720930236,20.94553986710966,27.422188538206008,33.937033907572435,Medium,43.97552862444851,48.114391176990345,78.48910420523059,29.1109081418795,Low,2.891787769185608,1.3001220951397987,8.877985162599392,2.095080408563185,Medium
Uttar Pradesh,Agra,55,Agra (M Corp.) WARD NO.-0055,0.4106027430482314,15768.0,8218.0,7550.0,1463.0,2872,919.0,10441.0,5327,1087,6,5218,4043,1175,10550,45.55786794834398,44.454090560000054,46.57668097999999,0.22933830603821548,46.08729394169635,4.900011226741008,0.46173896947813287,4.901637293767743,1.2393696537219,0.17598630908658774,21.215279416635237,0.0,96.90330583526963,52.45190127631098,69.63575626075759,35.69933465971104,10561.42443793802,25721.758114746503,143.78357881322222,10561.42443793802,100,Medium,0.17437701344785278,0.0754641,0.31661027857142854,66.1997613993155,0.09910151683426546,14.187432885071573,188.29288198510437,96.0637079013989,Medium,166.1912118175903,0.0,7.817955981780701,1173.0,1584.0,22.176,CRITICAL,10782.588408705766,Low,163.3982594998585,33.27651831501835,21.25506682206685,27.2657925685426,34.631531268166775,Medium,57.42497328654057,76.7672202047149,96.3023959054205,27.10289851669401,Medium,3.0287894731923517,1.3949991544423175,9.265058117835157,2.149736197977,High
Uttar Pradesh,Agra,48,Agra (M Corp.) WARD NO.-0048,0.24639520415985858,13545.0,7059.0,6486.0,1618.0,2220,919.0,9186.0,4359,608,7,4226,3799,427,9319,45.7605983577684,43.74656042000004,46.77492614000005,0.43206871546263415,46.32757556235426,5.102741636165495,0.7103687904787537,5.2438534127147785,0.8430903096092166,0.16984365331572912,21.03137247065969,0.0,90.42158850434528,46.87907179511198,79.76057981691054,33.0083470741288,3337.6452414718333,13545.901807838778,139.88306129136268,3337.6452414718333,100,Medium,0.16918605755157223,0.07908186666666667,0.2779698,69.86074020397946,0.057704191943421065,14.360464748280926,109.63796469250003,89.51402448250248,High,166.52410472229923,0.0,4.518942732317348,678.0,916.0,12.824,CRITICAL,3386.973344989852,Low,155.65520422335487,33.758641975308684,20.858787477954166,27.308714726631425,34.82558257388372,Medium,55.14478362624057,78.21375679419614,89.9155613368204,24.979167177677223,Medium,2.8427373553445614,1.2681087612858537,8.113320387360394,2.2328270253485862,Medium
Uttar Pradesh,Agra,32,Agra (M Corp.) WARD NO.-0032,0.8931293187013735,16784.0,8914.0,7870.0,1903.0,2816,883.0,11231.0,5553,3124,13,5735,4393,1342,11049,44.019775804584064,39.89786989999999,47.39016974000003,-1.308753837721703,45.61556921175166,3.3619190829810845,1.3778922734579613,4.001431541270037,1.3016241982225447,0.3067291563900528,21.29692352762027,2.3588408403968573,73.29057266864017,56.52272444486119,52.832822765140435,31.368101478839204,10014.078108843632,11212.349543517716,25.952345097739293,10014.078108843632,100,Low,0.15866496047549547,0.07280640000000001,0.39332389999999995,NaN,0.15047055677503676,14.71116798415015,285.8940578725699,59.6015208073777,Low,44.95948789456962,0.24297335223687203,13.750714117784728,2063.0,2786.0,39.004,CRITICAL,9892.911408218682,Low,158.7976678706924,33.1369889322917,21.317321366567498,27.2271551494296,33.29282546997071,Medium,38.343825126231756,49.951735313713336,65.39962515412421,27.862278347146482,Low,2.660816219999395,0.9808575827765896,9.21184704725509,2.084932338951091,Low
Uttar Pradesh,Agra,28,Agra (M Corp.) WARD NO.-0028,0.4723699619919288,10838.0,5845.0,4993.0,1173.0,1911,854.0,7523.0,3315,4450,1,3688,2900,788,7150,45.13076593649019,43.028776220000054,47.13381823999998,-0.197763705815575,46.13598497644706,4.472909214887267,0.8901764422649749,4.690363739617259,0.737362180394568,0.2690613360793625,20.663339962170983,0.4078044200340655,67.89009338400106,60.23989841885571,35.162487465177165,37.59366200820527,5509.777583013798,11664.115050372193,96.38644902380713,5509.777583013798,100,Low,0.16022950020990337,0.07807657500000001,0.2893112,55.038424840121436,0.09714130969263249,14.659016659669888,184.5684884160017,73.56583481882043,Low,142.5603802450919,0.1602143130246001,7.130086297847523,1070.0,1445.0,20.23,CRITICAL,5543.1651415955785,Low,155.79945259106637,33.84000965537733,20.75305934873952,27.296534502058424,34.04059074055065,Medium,43.16019697049073,45.31264779062546,73.04083163496877,28.418726634950662,Low,2.6402853971502807,0.985892433187618,8.614461014334232,2.167179969027236,Low
Uttar Pradesh,Agra,0,Agra (CB),12.56365584046448,53053.0,29134.0,23919.0,6416.0,9812,821.0,37796.0,15257,12142,22,18104,16094,2010,34949,44.409917935736935,37.14636380000002,50.80135370000005,-0.9186117065688322,47.07394570619574,3.7520612141339806,1.6612532146115213,4.151696297805713,-0.19871771764810534,0.35714061254458723,19.836825823499023,4.652314818781553,44.27343566821234,49.064312982512995,22.346646477563503,55.23327600337926,117431.71422689101,9346.938161794596,20.950275231644657,117431.71422689101,100,Low,0.14380226412318226,0.06383280000000001,0.4214079666666666,NaN,1.2647246460382087,15.206591195893925,2402.9768274725966,32.22368627452724,Low,94.90582041577514,0.697156513052759,137.90119819179242,20686.0,27927.0,390.978,CRITICAL,109122.7497418123,Low,87.18187127318045,32.73644829781425,19.816979450696845,26.27671387425555,23.766629394458764,Low,30.38462603665795,21.990481839128684,39.2732399330997,54.98306117269746,Low,1.795723241126976,0.2504803795527724,11.673620803665129,1.9803361528205552,Low
Uttar Pradesh,Agra,59,Agra (M Corp.) WARD NO.-0059,7.512997572180023,16420.0,8652.0,7768.0,1968.0,3209,898.0,12101.0,4319,2436,1,5730,3925,1805,10690,43.95486815204479,37.96497959000004,48.68730833000001,-1.3736614902609787,46.15514513965604,3.2970114304418736,1.938375601146776,3.954887600276636,-0.5433836867342366,0.320275042600058,19.261628185493926,8.229804354421525,68.1444108632282,48.59316615718997,42.59773133819809,56.956999439918604,55375.172613738585,7370.583057125965,34.04196789377159,55375.172613738585,100,Low,0.17129583797042341,0.06783258333333334,0.45937479999999997,NaN,0.9446142970773389,14.29013873431922,1794.767164446944,48.84483861348429,Low,47.429165158869225,0.27586468323700214,108.717908841152,16308.0,22016.0,308.224,CRITICAL,49936.885463849234,Low,62.328141153234476,32.820338858272734,19.47231348161072,26.146326169941727,21.172012863490885,Low,45.49353870023693,41.357622308444554,66.68242907004611,58.737483985735196,Low,1.2794956016303252,0.1,10.9219046829921,1.9178648951505308,Low
Uttar Pradesh,Agra,12,Agra (M Corp.) WARD NO.-0012,0.4988864506608167,19227.0,10254.0,8973.0,2340.0,3099,875.0,12642.0,6585,8770,3,6113,4643,1470,13114,46.77981687739349,45.722175979999975,47.96781512000001,1.451287235087726,47.376773247785685,6.121960155790609,0.42868788534341273,6.122412506835056,0.8550003625192798,0.1546560949255519,20.76036295820129,0.0,94.36235027456567,44.30752192674029,74.79393580093804,39.30419975421925,6896.374073252958,13823.53452197015,184.58167397016726,6896.374073252958,100,High,0.17921717235480722,0.08336706666666667,0.3370952,77.69557602643455,0.11620480368865208,14.026094254839759,220.78912700843892,96.4244530308226,High,202.51648271143176,0.0,9.538990486188355,1431.0,1932.0,27.048,CRITICAL,6926.395283328785,High,171.2034701415756,35.01123209876546,20.87069753086423,27.940964814814848,32.14110930316098,Medium,62.015888640158494,81.92928452645745,97.4875571382109,30.6835205651896,Medium,3.140571310220614,1.6442578347562016,8.83889604905678,2.131365986202436,High
Uttar Pradesh,Agra,78,Agra (M Corp.) WARD NO.-0078,2.8143180197352597,24459.0,12830.0,11629.0,3674.0,4108,906.0,13860.0,10599,3486,1,8110,5507,2603,16349,45.801981508735345,43.52438912000002,48.569386640000005,0.4734518664295777,46.979433106152925,5.144124787132448,0.7192175762533671,5.173870117443119,0.5263240286625647,0.21457133524307517,20.43740277979883,0.06637399355522729,85.07930044751642,60.10503244866377,54.09587266846854,50.92595298233117,24559.733895395322,8726.70882365513,157.16872888912968,24559.733895395322,100,Medium,0.181715786124999,0.06665045,0.4866164999999999,58.49087217674499,0.555988455626575,13.942807129166699,1056.3780656904923,83.50948764284587,Medium,180.5867746600691,0.015213922209856165,48.610618128416675,7292.0,9845.0,137.83,CRITICAL,24484.407571156826,Medium,165.26207428229776,34.832349633222165,20.542021197007518,27.68718541511484,30.479395715378374,Medium,57.84174277172262,59.51866799077797,87.25224495994284,41.190422075604445,Medium,2.8141837593571957,1.1228583961521035,10.108904263548967,1.9634881422272732,Low
Uttar Pradesh,Agra,79,Agra (M Corp.) WARD NO.-0079,0.14825522503495625,12005.0,6333.0,5672.0,1339.0,2023,896.0,7664.0,4341,296,0,4478,3234,1244,7527,45.954461794330385,45.36841091000002,47.041531700000064,0.6259321520246175,46.46316085229914,5.296605072727469,0.35105867294361914,5.296826591313256,1.1106361649884207,0.11100285844071889,21.126256675279965,0.0,100.0,32.44690590138469,88.60886675388726,53.96783428934622,2881.0668770584402,19433.155737877907,175.54133829530255,2881.0668770584402,100,High,0.18203689710572715,0.10913740000000001,0.47674929999999993,67.01768535538281,0.03478545976834051,13.932103429809095,66.09237355984696,99.45154999856615,Medium,172.1776084415869,0.0,2.888537716767576,434.0,586.0,8.204,CRITICAL,2954.4006948433666,Medium,137.92546378048743,33.511666666666706,21.12633333333337,27.319000000000038,27.681676511819653,Low,74.69887751891488,95.36805465772485,100.0,43.859007703735664,High,2.999810338534402,1.4738827381510098,7.966262981376437,2.2991315490054482,High
Uttar Pradesh,Agra,4,Agra (M Corp.) WARD NO.-0004,0.8405083275279824,24282.0,13070.0,11212.0,3760.0,3865,858.0,12148.0,12134,15811,1,6635,5017,1618,17647,47.39404899427516,44.84374484,50.305740800000024,2.0655193519693924,48.98914393228256,6.73619227267219,1.2140430971745366,5.915948204958693,0.1326560062582639,0.21219323965147857,19.811139291632163,0.6235728225128467,90.30588882462558,28.411503046941746,63.564745267102644,94.49449064842604,6598.396627284033,7850.483345823075,201.82526540246064,6598.396627284033,100,High,0.18170295368865266,0.0756238,0.27380418333333334,50.83072763499909,0.11181857259429276,13.94323487704491,212.45528792915624,56.229992628119284,Low,204.73532584291968,0.3306802961432151,13.677399861744867,2052.0,2771.0,38.794,CRITICAL,6160.504999766628,High,90.39941043712788,34.98573611111114,20.148353174603216,27.567044642857176,16.18602768402255,Low,63.965271203142855,49.036325317828194,82.64560215412251,83.97914789252407,Medium,2.9040367028400174,1.339379392551927,8.794733503726965,2.079122153754863,Medium
Uttar Pradesh,Agra,70,Agra (M Corp.) WARD NO.-0070,1.053198401303877,21260.0,11605.0,9655.0,2318.0,3718,832.0,15012.0,6248,1906,150,6388,5278,1110,14872,45.74492611678521,44.57713928000004,46.90139288,0.4163964744794413,46.30949475103557,5.087069395182297,0.418936746094254,5.089854974975847,0.391134447187201,0.1995732881418174,20.42047768890065,0.0,97.39502300921637,56.133138660162736,59.63382300216529,55.973210664122625,10856.247703612082,10307.884715901455,166.88572627169918,10856.247703612082,100,Medium,0.17658817649110586,0.08049007500000001,0.31437459999999995,68.63956212091902,0.2572323262845298,14.113727450296471,488.7414199406066,98.95291423604725,High,173.50265593789072,0.0,20.703535056923513,3106.0,4194.0,58.716,CRITICAL,10790.820383647846,Medium,141.33862816847193,34.22744966442957,20.406831615532152,27.317140639980863,27.857617234464865,Low,67.4417655825541,69.50354371080786,98.70271055973673,45.61848598318836,High,2.818675130542482,1.0337354416090059,9.292588127078167,2.331250682278497,Medium
Uttar Pradesh,Agra,40,Agra (M Corp.) WARD NO.-0040,0.39653080115361417,8199.0,4408.0,3791.0,889.0,1453,860.0,6356.0,1843,398,4,2332,1964,368,5867,46.70622196554576,43.95505964000006,49.79474680999999,1.377692323239991,48.37941249666373,6.048365243942857,1.289820650016434,5.647533567856046,-0.05795380551305751,0.254117199689954,19.991848354415577,0.2414260073997491,60.72008178198735,45.57790464118266,29.648669121360044,83.47949866257729,3159.3922543993185,7967.583464406299,142.22249102337082,3159.3922543993185,100,Medium,0.17190906311255824,0.0726379,0.358407625,36.950683744478816,0.04825411252259931,14.269697896248058,91.6828137929387,47.50168411291963,Low,194.2639238937773,0.22124599446431012,5.296510485534402,795.0,1074.0,15.036,CRITICAL,3375.908993425556,High,96.3518240175793,34.151261061946926,19.95774336283189,27.05450221238941,19.637660091812773,Low,46.74264322826527,29.64364993877352,65.74584103156592,73.77941620897147,Low,2.622581819647377,1.1555928940840976,8.05845143001635,1.9370047398899255,Low
Uttar Pradesh,Agra,22,Agra (M Corp.) WARD NO.-0022,0.8081438819972324,19928.0,10694.0,9234.0,2696.0,3290,863.0,13499.0,6429,5506,0,7467,6103,1364,12461,46.22178602452642,44.64208166000003,47.865274520000014,0.8932563822206561,46.991631444357935,5.563929302923501,0.5390644429761138,5.543164634463127,1.3762852105097056,0.16981439630302048,21.401046216134766,0.0,93.9300037752091,52.90687386382368,62.46655089268674,36.992921780517314,9997.495674851363,12370.935296996533,165.90430244345285,9997.495674851363,100,Medium,0.1821715407182462,0.077636675,0.42434653333333333,68.93330198936536,0.18398336880751473,13.927615309391792,349.568400734278,96.60724174413173,High,189.45302860606736,0.0,15.537890069640007,2331.0,3147.0,44.058,CRITICAL,10283.974245527681,High,189.29951790619427,35.3430653450808,21.391982378854653,28.367523861967726,33.75274950349112,High,58.49473064767667,73.79851527330109,96.5989198043718,28.588241471997783,Medium,3.1386485735084793,1.7053737858567954,9.210189928145214,1.9685203360190384,High
Uttar Pradesh,Agra,47,Agra (M Corp.) WARD NO.-0047,2.6099673849598815,21793.0,11546.0,10247.0,2380.0,3902,887.0,14853.0,6940,4783,10,6797,5310,1487,14996,44.71995634764311,41.26849592000002,48.95733190999999,-0.608573294662655,46.744881983792936,4.062099626040128,1.314609753820505,4.189218725826394,1.0870874593950628,0.26338357116489153,21.02966339406447,0.5302696834190316,71.23679267874284,64.0998078776319,50.45000432948067,15.960402037495406,30848.286886088044,11819.414703744362,27.044521400762527,30848.286886088044,100,Low,0.15552339316945082,0.05813126666666666,0.4729521,47.34542564225126,0.5628708369298093,14.815886894351637,1069.4545901666377,74.63561893427772,Low,124.6198969866017,0.18759598678740752,41.204220316488666,6181.0,8345.0,116.83,CRITICAL,30456.061430508486,Low,183.99068893235489,33.47711439699339,21.10278462774001,27.289949512366704,41.2664749805622,High,30.47705760528767,56.47632913011969,76.58383429014701,11.600964377567124,Low,2.7713107844972686,1.0136646107723637,10.336868913542478,2.03129220544709,Low
Uttar Pradesh,Agra,88,Agra (M Corp.) WARD NO.-0088,1.3079188143585787,16177.0,8524.0,7653.0,1703.0,2822,898.0,12567.0,3610,1366,0,5557,4132,1425,10620,45.62133823339683,41.91450170000002,47.38333369999998,0.2928085910910596,46.52026281401905,4.963481511793903,0.7702034473876413,5.012908343460957,1.491212443648031,0.19699947272504117,21.49605561912878,0.0019432367281469875,90.21032446004756,62.42168209396586,60.994666229715925,22.27181206767104,18176.272873134243,13897.095655779014,121.71561440776716,18176.272873134243,100,Low,0.17493893060873308,0.07636923333333333,0.38805895,66.70635825260011,0.3134502379836687,14.168702313042228,595.5554521689706,95.81548077819814,Medium,171.88997068255617,0.0019398753531748077,24.793954181919748,3720.0,5022.0,70.308,CRITICAL,18327.94020379759,Medium,198.92848927838,34.88985878054928,21.50690961199298,28.19838419627113,36.605576865945075,High,45.21207903084917,73.37048665201462,94.83612603108823,15.287228535015645,Low,3.0159988807947693,1.5186901556020864,9.807927349500984,1.8418196840764725,High
Uttar Pradesh,Agra,11,Agra (M Corp.) WARD NO.-0011,0.3289197654905504,20249.0,10958.0,9291.0,2211.0,3241,848.0,11999.0,8250,15996,3,6844,5451,1393,13405,45.77119262380083,43.68845408000004,47.256866960000025,0.44266298149506156,46.561991001140264,5.113335902197884,0.6150697816131744,5.116711704084169,0.11922038484656523,0.1652387041925285,20.23715799936391,0.0,97.70573139393488,50.470668359966176,69.37100914744636,29.93721845915965,4263.673587574679,12962.655440349847,142.38438066135237,4263.673587574679,100,Medium,0.1710309368859411,0.08221785000000001,0.3390352,73.43350646495634,0.08445869802452757,14.29896877046863,160.4715262466024,99.54945109106765,High,168.5584072532923,0.0,6.472012051068582,971.0,1311.0,18.354,CRITICAL,4326.1975356756475,Medium,107.18965421757561,32.53637500000003,20.134917553191517,26.335646276595774,34.90885438919067,Low,55.56118641757595,79.27956926771583,98.04948237113264,22.413710127869933,Medium,2.5513202372550983,0.9056900285831337,8.358120924189182,2.193848762486789,Low
Uttar Pradesh,Agra,69,Agra (M Corp.) WARD NO.-0069,1.092481530305638,29757.0,15722.0,14035.0,4569.0,4759,893.0,15726.0,14031,4729,10,8727,5984,2743,21030,46.094445186289946,43.360324160000005,48.11478998000001,0.7659155439841783,46.95639961502985,5.436588464686966,0.7235776361430474,5.460198773647088,-0.13749806883331475,0.17988457224717225,19.690611805599882,0.014569561419697608,90.00016213276793,45.17798451663843,62.0966960537642,80.15594831328114,14515.16805834303,13286.419637943163,189.58536280589533,14515.16805834303,100,High,0.1909729321257325,0.07200025,0.277074075,55.713753743859144,0.2175659685848272,13.634235595808915,413.3753403111717,91.32980552539375,Low,187.61475905261938,0.014705528217712994,19.746220063296008,2962.0,3999.0,55.986,CRITICAL,14505.030034577616,High,103.34975585122382,34.153899420024445,19.878199099511633,27.01604925976804,20.33049158782959,Low,73.3753953178073,68.10106051923523,92.94220390711848,67.82833179664746,High,2.603005267507481,0.8931819532389433,9.583018345721372,2.0605486926512304,Low
Uttar Pradesh,Agra,73,Agra (M Corp.) WARD NO.-0073,2.573206252850386,31318.0,16969.0,14349.0,3987.0,5080,846.0,20982.0,10336,2651,10,8994,7056,1938,22324,46.05622556382002,43.57053239000004,49.84089008000001,0.727695921514254,47.52485778828887,5.398368842217109,0.8167003480535441,5.30886991667028,0.16765636749876753,0.20621377133074342,20.093427431180697,0.2167347618188883,85.50637122568376,55.87577723711093,43.32036037446241,84.5797507731642,21873.179420575907,8500.359967782062,179.12172097669895,21873.179420575907,100,High,0.1886553677635578,0.081576175,0.3849973666666666,51.778862885867774,0.4420681486892097,13.71148774121474,839.9294825094983,77.14634337045493,Low,188.76638827876565,0.03286880189223755,43.959536175540556,6594.0,8902.0,124.628,CRITICAL,21372.37070647595,High,105.46636231543498,34.370623980978294,20.183353535843718,27.276988758411008,18.715013649454768,Low,65.8762978981444,50.890382103412534,85.71940328224505,73.58908150320049,High,2.730251945319402,1.0337057362875848,9.99306219831997,1.9702106341077719,Low
Uttar Pradesh,Agra,66,Agra (M Corp.) WARD NO.-0066,0.14327760270678933,11416.0,5940.0,5476.0,1479.0,1753,922.0,5885.0,5531,651,6,3863,3209,654,7553,46.075330467506404,43.739724379999984,47.25344894,0.7468008252006371,46.75816556825192,5.4174737459035045,0.69928834088846,5.439918975081462,1.2958885459407976,0.14259233606654687,21.307195620437994,0.1647947176156788,96.28731906716963,35.04735114236492,84.94475767966794,35.615490288067846,2172.5411468505854,15163.159529522458,157.48976390644788,2172.5411468505854,100,Medium,0.17847479148829143,0.07894828000000001,0.302384,71.48972470359739,0.034369214430546226,14.050840283723618,65.30150741803783,98.69494940438392,High,173.21415041461785,0.1647947176156788,2.7360868615454876,411.0,555.0,7.77,CRITICAL,2153.5838593127683,Medium,162.18977433110624,33.936828571428606,21.311585714285744,27.624207142857173,33.926226656861104,Medium,61.444086377242165,89.22179313678846,96.30277067431831,27.1752007088021,Medium,2.972471301337084,1.6115100161654605,7.684112981397842,2.120929632569003,Medium
Uttar Pradesh,Agra,81,Agra (M Corp.) WARD NO.-0081,0.21672493468691562,5948.0,3309.0,2639.0,658.0,1010,798.0,3673.0,2275,986,0,2048,1489,559,3900,46.632608065402515,43.77390458000002,48.32328920000003,1.3040784230967475,47.50849788127225,5.9747513437995865,0.7827636497189249,5.953343658770543,0.709645448808044,0.12639632570991108,20.780716277373205,0.03128989754291694,98.88274042347032,43.325938304263836,81.75875755119533,40.553828455925185,4576.156990141028,21115.046114799014,183.05874939070503,4576.156990141028,100,High,0.17805317500958107,0.08197981222222223,0.3784602333333333,77.76001359460719,0.05148560300281409,14.064894166347296,97.82264570534676,97.40391873707703,High,194.81797636456523,0.03128989754291694,4.164839967394989,625.0,844.0,11.816,CRITICAL,4280.749988032322,High,139.38741444590187,33.08422105911334,20.725342617152997,26.904781838133168,33.66421345741518,Low,64.68895932346324,86.89935943363994,98.92097879789914,31.816281400721465,High,3.0521549187131574,1.5172527467346169,8.428833339855897,2.223280818135197,High
Uttar Pradesh,Agra,76,Agra (M Corp.) WARD NO.-0076,0.504265731885852,10497.0,5691.0,4806.0,1121.0,1750,844.0,6574.0,3923,926,0,3602,2822,780,6895,46.272348836573336,45.165038719999984,47.15432636000003,0.9438191942675687,46.69776027259664,5.614492114970398,0.38516835662383936,5.634112417344184,1.304109625710289,0.16334126732857768,21.34704130409764,0.0,93.99145747777602,54.12861647450382,65.6004358394664,30.992756757258856,6797.858400053136,13480.706639791919,156.76980229413388,6797.858400053136,100,Medium,0.177103278714911,0.08225816,0.3364452,73.58391200411997,0.11813023835529433,14.096557376169631,224.44745287505924,95.30843358510683,High,188.41613324250486,0.0,9.570709831947372,1436.0,1939.0,27.146,CRITICAL,7084.673709405637,High,168.90569706161833,33.801925690021264,21.319806794055236,27.56086624203825,34.10651727390129,Medium,54.54371640305932,74.17380983301238,97.11913844958184,23.160704321803426,Medium,3.103814884803533,1.6872157240153993,8.824509994725252,2.0082890534942672,High
Uttar Pradesh,Agra,19,Agra (M Corp.) WARD NO.-0019,0.20681111233741234,19117.0,10020.0,9097.0,2674.0,3083,908.0,9804.0,9313,4649,0,6020,4645,1375,13097,45.04783733962139,41.27020492999998,46.393816910000055,-0.28069230268437906,45.74939443088645,4.389980618018423,0.8637281349196548,4.457998851803362,1.182060407412651,0.18061223896082143,21.3259498062995,0.35803841290258515,93.63716139416957,50.58316106797842,77.03309404722569,61.327789460430004,2453.822337371229,11865.041049476189,133.1037673492581,2453.822337371229,100,Medium,0.17826537555928587,0.08727964,0.2583408,54.10817981166062,0.0483399178287486,14.05782081469047,91.84584387462235,96.00368900833813,Low,133.35286723531954,0.2867761774055071,3.788199266254099,569.0,769.0,10.766,CRITICAL,2429.3503550211594,Low,131.9251963091197,33.98590909090911,21.1977575757576,27.591833333333355,24.123025383968905,Low,71.01446894088005,82.3244458820687,90.33637162908389,51.53965384159635,High,2.7850674811367875,1.1807872383577558,7.805809669940395,2.3437838581590613,Low
